STRUCT	ENCUT	KX	KY	KZ	ENERGY	VOLUME
AlNb	700.0	08	08	08	-411.63691044	1833.77
AlNb	700.0	08	08	08	-410.56061324	1888.23
AlNb	700.0	08	08	08	-408.86254842	1943.76
AlNi	700.0	08	08	08	-403.80309986	1626.38
AlNi	700.0	08	08	08	-405.81085308	1676.68
AlNi	700.0	08	08	08	-406.88577464	1728.00
AlNi	700.0	08	08	08	-407.12149960	1780.36
AlNi	700.0	08	08	08	-406.60337098	1833.77
AlNi	700.0	08	08	08	-405.41000620	1888.23
AlNi	700.0	08	08	08	-403.61421446	1943.76
AlO	700.0	08	08	08	-402.27726094	1626.38
AlO	700.0	08	08	08	-404.31543787	1676.68
AlO	700.0	08	08	08	-405.42548106	1728.00
AlO	700.0	08	08	08	-405.69988855	1780.36
AlO	700.0	08	08	08	-405.22333496	1833.77
AlO	700.0	08	08	08	-404.07401702	1888.23
AlO	700.0	08	08	08	-402.32450030	1943.76
AlOs	700.0	08	08	08	-409.86785123	1626.38
AlOs	700.0	08	08	08	-411.91153784	1676.68
AlOs	700.0	08	08	08	-413.00435080	1728.00
AlOs	700.0	08	08	08	-413.24201174	1780.36
AlOs	700.0	08	08	08	-412.71249558	1833.77
AlOs	700.0	08	08	08	-411.49713339	1888.23
AlOs	700.0	08	08	08	-409.67128641	1943.76
AlP	700.0	08	08	08	-402.15663748	1626.38
AlP	700.0	08	08	08	-404.28778153	1676.68
AlP	700.0	08	08	08	-405.48369726	1728.00
AlP	700.0	08	08	08	-405.83604726	1780.36
AlP	700.0	08	08	08	-405.42926765	1833.77
AlP	700.0	08	08	08	-404.34193383	1888.23
AlP	700.0	08	08	08	-402.64735792	1943.76
AlPb	700.0	08	08	08	-398.11730069	1626.38
AlPb	700.0	08	08	08	-400.60324520	1676.68
AlPb	700.0	08	08	08	-402.13261934	1728.00
AlPb	700.0	08	08	08	-402.79800089	1780.36
AlPb	700.0	08	08	08	-402.68468562	1833.77
AlPb	700.0	08	08	08	-401.87242192	1888.23
AlPb	700.0	08	08	08	-400.43596771	1943.76
AlPd	700.0	08	08	08	-404.01230001	1626.38
AlPd	700.0	08	08	08	-406.12505202	1676.68
AlPd	700.0	08	08	08	-407.29320843	1728.00
AlPd	700.0	08	08	08	-407.61138094	1780.36
AlPd	700.0	08	08	08	-407.16595750	1833.77
AlPd	700.0	08	08	08	-406.03656316	1888.23
AlPd	700.0	08	08	08	-404.29694572	1943.76
AlPo	700.0	08	08	08	-397.03031036	1626.38
AlPo	700.0	08	08	08	-399.59822111	1676.68
AlPo	700.0	08	08	08	-401.20080345	1728.00
AlPo	700.0	08	08	08	-401.93124391	1780.36
AlPo	700.0	08	08	08	-401.87587430	1833.77
AlPo	700.0	08	08	08	-401.11535151	1888.23
AlPo	700.0	08	08	08	-399.72542625	1943.76
AlPt	700.0	08	08	08	-405.30490323	1626.38
AlPt	700.0	08	08	08	-407.40573659	1676.68
AlPt	700.0	08	08	08	-408.55902979	1728.00
AlPt	700.0	08	08	08	-408.85971074	1780.36
AlPt	700.0	08	08	08	-408.39461015	1833.77
AlPt	700.0	08	08	08	-407.24382299	1888.23
AlPt	700.0	08	08	08	-405.48176886	1943.76
AlRb	700.0	08	08	08	-392.78096268	1626.38
AlRb	700.0	08	08	08	-395.40615069	1676.68
AlRb	700.0	08	08	08	-397.08495215	1728.00
AlRb	700.0	08	08	08	-397.90974356	1780.36
AlRb	700.0	08	08	08	-397.96588594	1833.77
AlRb	700.0	08	08	08	-397.33320154	1888.23
AlRb	700.0	08	08	08	-396.08677425	1943.76
AlRe	700.0	08	08	08	1626.38
AlRe	700.0	08	08	08	1676.68
AlRe	700.0	08	08	08	1728.00
AlRe	700.0	08	08	08	1780.36
AlRe	700.0	08	08	08	1833.77
AlRe	700.0	08	08	08	1888.23
AlRe	700.0	08	08	08	1943.76
AlRh	700.0	08	08	08	-406.65706951	1626.38
AlRh	700.0	08	08	08	-408.71423998	1676.68
AlRh	700.0	08	08	08	-409.82553030	1728.00
AlRh	700.0	08	08	08	-410.08609270	1780.36
AlRh	700.0	08	08	08	-409.58310545	1833.77
AlRh	700.0	08	08	08	-408.39697734	1888.23
AlRh	700.0	08	08	08	-406.60213123	1943.76
AlRu	700.0	08	08	08	-408.24706528	1626.38
AlRu	700.0	08	08	08	-410.29134335	1676.68
AlRu	700.0	08	08	08	-411.38774055	1728.00
AlRu	700.0	08	08	08	-411.63153192	1780.36
AlRu	700.0	08	08	08	-411.11025211	1833.77
AlRu	700.0	08	08	08	-409.90478844	1888.23
AlRu	700.0	08	08	08	-408.09006739	1943.76
AlSb	700.0	08	08	08	-399.50482974	1626.38
AlSb	700.0	08	08	08	-401.91408201	1676.68
AlSb	700.0	08	08	08	-403.36803494	1728.00
AlSb	700.0	08	08	08	-403.95902141	1780.36
AlSb	700.0	08	08	08	-403.77241570	1833.77
AlSb	700.0	08	08	08	-402.88809338	1888.23
AlSb	700.0	08	08	08	-401.38087124	1943.76
AlSc	700.0	08	08	08	-403.95137477	1626.38
AlSc	700.0	08	08	08	-406.26339018	1676.68
AlSc	700.0	08	08	08	-407.62214483	1728.00
AlSc	700.0	08	08	08	-408.12014273	1780.36
AlSc	700.0	08	08	08	-407.84257267	1833.77
AlSc	700.0	08	08	08	-406.86874987	1888.23
AlSc	700.0	08	08	08	-405.27271431	1943.76
AlSe	700.0	08	08	08	-399.69148926	1626.38
AlSe	700.0	08	08	08	-401.96656399	1676.68
AlSe	700.0	08	08	08	-403.29827839	1728.00
AlSe	700.0	08	08	08	-403.77890601	1780.36
AlSe	700.0	08	08	08	-403.49346435	1833.77
AlSe	700.0	08	08	08	-402.52107530	1888.23
AlSe	700.0	08	08	08	-400.93554235	1943.76
AlSi	700.0	08	08	08	-402.17577762	1626.38
AlSi	700.0	08	08	08	-404.30706873	1676.68
AlSi	700.0	08	08	08	-405.50320577	1728.00
AlSi	700.0	08	08	08	-405.85550996	1780.36
AlSi	700.0	08	08	08	-405.44807692	1833.77
AlSi	700.0	08	08	08	-404.35935275	1888.23
AlSi	700.0	08	08	08	-402.66277036	1943.76
AlSn	700.0	08	08	08	-399.44811418	1626.38
AlSn	700.0	08	08	08	-401.83186409	1676.68
AlSn	700.0	08	08	08	-403.26365130	1728.00
AlSn	700.0	08	08	08	-403.83572135	1780.36
AlSn	700.0	08	08	08	-403.63298000	1833.77
AlSn	700.0	08	08	08	-402.73477428	1888.23
AlSn	700.0	08	08	08	-401.21561918	1943.76
AlSr	700.0	08	08	08	-396.06483092	1626.38
AlSr	700.0	08	08	08	-398.66574402	1676.68
AlSr	700.0	08	08	08	-400.31175791	1728.00
AlSr	700.0	08	08	08	-401.09503204	1780.36
AlSr	700.0	08	08	08	-401.10053061	1833.77
AlSr	700.0	08	08	08	-400.40749841	1888.23
AlSr	700.0	08	08	08	-399.09009072	1943.76
AlTa	700.0	08	08	08	-409.44748060	1626.38
AlTa	700.0	08	08	08	-411.66548183	1676.68
AlTa	700.0	08	08	08	-412.92447022	1728.00
AlTa	700.0	08	08	08	-413.31834205	1780.36
AlTa	700.0	08	08	08	-412.93391768	1833.77
AlTa	700.0	08	08	08	-411.85189613	1888.23
AlTa	700.0	08	08	08	-410.14756068	1943.76
AlTc	700.0	08	08	08	-409.03697478	1626.38
AlTc	700.0	08	08	08	-411.10789531	1676.68
AlTc	700.0	08	08	08	-412.22807212	1728.00
AlTc	700.0	08	08	08	-412.49248240	1780.36
AlTc	700.0	08	08	08	-411.98859668	1833.77
